symbol,safe_name,category,source,start_date,end_date
AAPL,AAPL,stocks,Yahoo Finance via yfinance,2010-01-01,latest
MSFT,MSFT,stocks,Yahoo Finance via yfinance,2010-01-01,latest
NVDA,NVDA,stocks,Yahoo Finance via yfinance,2010-01-01,latest
GOOGL,GOOGL,stocks,Yahoo Finance via yfinance,2010-01-01,latest
AMZN,AMZN,stocks,Yahoo Finance via yfinance,2010-01-01,latest
META,META,stocks,Yahoo Finance via yfinance,2010-01-01,latest
TSLA,TSLA,stocks,Yahoo Finance via yfinance,2010-01-01,latest
JPM,JPM,stocks,Yahoo Finance via yfinance,2010-01-01,latest
V,V,stocks,Yahoo Finance via yfinance,2010-01-01,latest
WMT,WMT,stocks,Yahoo Finance via yfinance,2010-01-01,latest
UNH,UNH,stocks,Yahoo Finance via yfinance,2010-01-01,latest
MA,MA,stocks,Yahoo Finance via yfinance,2010-01-01,latest
PG,PG,stocks,Yahoo Finance via yfinance,2010-01-01,latest
HD,HD,stocks,Yahoo Finance via yfinance,2010-01-01,latest
BAC,BAC,stocks,Yahoo Finance via yfinance,2010-01-01,latest
SPY,SPY,etfs,Yahoo Finance via yfinance,2010-01-01,latest
QQQ,QQQ,etfs,Yahoo Finance via yfinance,2010-01-01,latest
VTI,VTI,etfs,Yahoo Finance via yfinance,2010-01-01,latest
VOO,VOO,etfs,Yahoo Finance via yfinance,2010-01-01,latest
IWM,IWM,etfs,Yahoo Finance via yfinance,2010-01-01,latest
DIA,DIA,etfs,Yahoo Finance via yfinance,2010-01-01,latest
XLK,XLK,etfs,Yahoo Finance via yfinance,2010-01-01,latest
XLF,XLF,etfs,Yahoo Finance via yfinance,2010-01-01,latest
XLE,XLE,etfs,Yahoo Finance via yfinance,2010-01-01,latest
^GSPC,GSPC,indices,Yahoo Finance via yfinance,2010-01-01,latest
^IXIC,IXIC,indices,Yahoo Finance via yfinance,2010-01-01,latest
^DJI,DJI,indices,Yahoo Finance via yfinance,2010-01-01,latest
^RUT,RUT,indices,Yahoo Finance via yfinance,2010-01-01,latest
^VIX,VIX,indices,Yahoo Finance via yfinance,2010-01-01,latest
^NSEI,NSEI,indices,Yahoo Finance via yfinance,2010-01-01,latest
^BSESN,BSESN,indices,Yahoo Finance via yfinance,2010-01-01,latest
BTC-USD,BTC_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
ETH-USD,ETH_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
BNB-USD,BNB_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
SOL-USD,SOL_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
XRP-USD,XRP_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
ADA-USD,ADA_USD,crypto,Yahoo Finance via yfinance,2010-01-01,latest
EURUSD=X,EURUSDX,forex,Yahoo Finance via yfinance,2010-01-01,latest
GBPUSD=X,GBPUSDX,forex,Yahoo Finance via yfinance,2010-01-01,latest
JPY=X,JPYX,forex,Yahoo Finance via yfinance,2010-01-01,latest
INR=X,INRX,forex,Yahoo Finance via yfinance,2010-01-01,latest
AUDUSD=X,AUDUSDX,forex,Yahoo Finance via yfinance,2010-01-01,latest
CAD=X,CADX,forex,Yahoo Finance via yfinance,2010-01-01,latest
VTSAX,VTSAX,mutual_funds,Yahoo Finance via yfinance,2010-01-01,latest
VFIAX,VFIAX,mutual_funds,Yahoo Finance via yfinance,2010-01-01,latest
SWPPX,SWPPX,mutual_funds,Yahoo Finance via yfinance,2010-01-01,latest
FXAIX,FXAIX,mutual_funds,Yahoo Finance via yfinance,2010-01-01,latest
