run_id,asset,asset_class,model,feature_ablation,retraining_frequency,hyperparameter_variant,feature_count,feature_hash,balanced_accuracy,net_return_realistic,top_native_importance,shap_status
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,weekly_expanding,base,168,2338a5a4d6efca09,0.75,0.2668709987498983,volume_adi:6.0000|volume_nvi:3.0000|sma_50:2.0000|volatility_dch:2.0000|trend_dpo:2.0000|volume_adi:6.0000|momentum_tsi:3.0000|volume_nvi:2.0000|volatility_dch:2.0000|trend_adx_neg:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,monthly_expanding,base,168,2338a5a4d6efca09,0.19117647058823528,0.07788622309279614,ema_5:3.0000|momentum_50_research:3.0000|volume_vpt:2.0000|volume_nvi:2.0000|momentum_tsi:2.0000|volume_adi:6.0000|momentum_tsi:3.0000|close:2.0000|volume_nvi:2.0000|momentum_50_research:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.5,-0.009874423266859611,momentum_50_research:4.0000|sma_200:3.0000|volume_nvi:3.0000|volatility_200:2.0000|volume_mfi:2.0000|volume_em:3.0000|momentum_tsi:3.0000|momentum_50_research:3.0000|volume_sma_200:2.0000|volume_vpt:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,monthly_rolling,base,168,2338a5a4d6efca09,0.19117647058823528,0.07788622309279614,adj_close:4.0000|volume_nvi:4.0000|trend_ichimoku_conv:4.0000|volatility_10:3.0000|sma_200:3.0000|volume_adi:6.0000|trend_ichimoku_conv:5.0000|volatility_200_research:3.0000|volatility_50:2.0000|volatility_200:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,monthly_expanding,shallow_regularized,168,2338a5a4d6efca09,0.5,0.7717085294697303,ema_5:3.0000|momentum_tsi:3.0000|sma_5:1.0000|trend_adx_neg:1.0000|adj_close:0.0000|volume_adi:2.0000|trend_adx_neg:2.0000|momentum_tsi:2.0000|volatility_5:1.0000|volatility_kcw:1.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,full,monthly_expanding,deeper_neighbor,168,2338a5a4d6efca09,0.19117647058823528,0.07788622309279614,ema_5:4.0000|volume_nvi:4.0000|momentum_tsi:3.0000|momentum_50_research:3.0000|volatility_200_research:3.0000|volume_adi:7.0000|momentum_tsi:4.0000|volume_nvi:3.0000|momentum_50_research:3.0000|volatility_200_research:3.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,remove_momentum,monthly_expanding,base,144,b4fa6d5456d97861,0.5,0.7717085294697303,volume_nvi:6.0000|ema_5:3.0000|sma_200:3.0000|trend_adx_neg:3.0000|trend_stc:2.0000|volume_adi:4.0000|volume_nvi:4.0000|trend_adx_neg:3.0000|week_of_year:2.0000|volume_obv:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,remove_volatility,monthly_expanding,base,135,e995863ecdfac75e,0.5,0.7717085294697303,ema_5:4.0000|week_of_year:3.0000|momentum_tsi:3.0000|sma_200:2.0000|volume_adi:2.0000|volume_adi:5.0000|volume_nvi:3.0000|momentum_tsi:3.0000|sma_200:2.0000|volume_vpt:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,remove_volume,monthly_expanding,base,146,680d6e90e20b5228,0.5,0.7717085294697303,sma_5:2.0000|ema_5:2.0000|sma_50:2.0000|volatility_100:2.0000|sma_200:2.0000|volatility_dch:4.0000|momentum_tsi:3.0000|momentum_50_research:3.0000|sma_200:2.0000|volatility_200:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,remove_lagged_returns,monthly_expanding,base,156,59583af45b29711a,0.5,0.7717085294697303,volume_nvi:5.0000|ema_5:3.0000|sma_200:3.0000|volume_vpt:3.0000|trend_adx_neg:2.0000|volume_adi:4.0000|volume_nvi:3.0000|momentum_tsi:3.0000|sma_200:2.0000|volume_vpt:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,noisy_full,monthly_expanding,base,168,2338a5a4d6efca09,0.19117647058823528,0.07788622309279614,ema_5:4.0000|volume_nvi:4.0000|sma_200:3.0000|volume_vpt:3.0000|momentum_tsi:3.0000|volume_adi:6.0000|adj_close:3.0000|volume_vpt:3.0000|volume_nvi:3.0000|momentum_tsi:3.0000,not_run_dependency_unavailable
