model,asset_class,sample_count,mean_balanced_accuracy,median_balanced_accuracy,std_balanced_accuracy,collapse_count
CatBoost,etfs,72,0.5373787262574027,0.5,0.18282436936117893,52
CatBoost,forex,48,0.490093954248366,0.5,0.15964761892571072,40
CatBoost,stocks,40,0.534047619047619,0.5,0.14583667685872248,28
LightGBM,etfs,72,0.598454785954786,0.5,0.14290540091297327,67
LightGBM,forex,48,0.4676404273830745,0.5,0.12040205021985236,29
LightGBM,stocks,40,0.525,0.5,0.13634420996046587,40
XGBoost,etfs,72,0.5946969696969697,0.5,0.12941088547161447,70
XGBoost,forex,48,0.4428979925303455,0.5,0.11309061713309872,34
XGBoost,stocks,40,0.525,0.5,0.13634420996046587,40
buy_hold,etfs,72,0.5833333333333334,0.5,0.11867816581938535,72
buy_hold,forex,48,0.4791666666666667,0.5,0.12455594886300346,48
buy_hold,stocks,40,0.525,0.5,0.13634420996046587,40
historical_mean,etfs,72,0.5833333333333334,0.5,0.11867816581938535,72
historical_mean,forex,48,0.4375,0.5,0.10939874362342092,48
historical_mean,stocks,40,0.525,0.5,0.13634420996046587,40
logistic_regression,etfs,72,0.5078348530554413,0.5,0.16751521346200035,36
logistic_regression,forex,48,0.488891038871689,0.5,0.062416639197893316,28
logistic_regression,stocks,40,0.46308854952237305,0.47916666666666663,0.2796514742158457,12
momentum,etfs,72,0.5019157494647691,0.5,0.17602590723393258,28
momentum,forex,48,0.47402360066833754,0.48214285714285715,0.12041599062206268,24
momentum,stocks,40,0.5165575396825397,0.5,0.10579655870365932,16
moving_average,etfs,72,0.403346961680295,0.48409090909090907,0.11368458704559838,56
moving_average,forex,48,0.4135796264279236,0.4852941176470588,0.15952698479278216,28
moving_average,stocks,40,0.44950980392156864,0.5,0.10824346374396493,32
random,etfs,72,0.5052163335711131,0.46850649350649354,0.11232983893476546,0
random,forex,48,0.5274267093200916,0.5136363636363637,0.14656902973196198,0
random,stocks,40,0.5121772202470731,0.5024305555555556,0.128780801094204,0
random_walk,etfs,72,0.5149398509079881,0.5212418300653594,0.09937938018948163,0
random_walk,forex,48,0.44350891340055426,0.46850649350649354,0.1143238813270732,0
random_walk,stocks,40,0.40773288802700564,0.3970588235294118,0.14306726210451287,0
