cost_bps,net_return_diagnostic,sharpe_diagnostic,max_drawdown,turnover,total_cost,asset,model,seed,fold_id
0,0.4171717091167777,1.3817849008514764,-0.2022926207616127,19.0,0.0,SPY,random,11,monthly_expanding_01
8,0.404876446853778,1.3465720159135846,-0.20639769704292998,19.0,0.015200000000000002,SPY,random,11,monthly_expanding_01
15,0.39418988310835146,1.3158667428148825,-0.20997809391492028,19.0,0.0285,SPY,random,11,monthly_expanding_01
25,0.379038922395176,1.2721852373574134,-0.21507428822756647,19.0,0.0475,SPY,random,11,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,historical_mean,11,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,historical_mean,11,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,historical_mean,11,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,historical_mean,11,monthly_expanding_01
0,-0.16408878505093816,-0.43967607114425433,-0.3762100362138523,17.0,0.0,SPY,random_walk,11,monthly_expanding_01
8,-0.17066030793914788,-0.46545576411350525,-0.38137946856000715,17.0,0.013600000000000003,SPY,random_walk,11,monthly_expanding_01
15,-0.17637646231659732,-0.48799765106255905,-0.3858746238970321,17.0,0.0255,SPY,random_walk,11,monthly_expanding_01
25,-0.18448773682054898,-0.5201668586699357,-0.39225101763015124,17.0,0.042499999999999996,SPY,random_walk,11,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,buy_hold,11,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,buy_hold,11,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,buy_hold,11,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,buy_hold,11,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,momentum,11,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,momentum,11,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,momentum,11,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,momentum,11,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,moving_average,11,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,moving_average,11,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,moving_average,11,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,moving_average,11,monthly_expanding_01
0,0.3764113636348494,1.2613747905048052,-0.23498583374290904,5.0,0.0,SPY,logistic_regression,11,monthly_expanding_01
8,0.3732234470366056,1.2520263109721486,-0.23631023813540664,5.0,0.004,SPY,logistic_regression,11,monthly_expanding_01
15,0.3704362894584359,1.2438274720715154,-0.23746909197884214,5.0,0.007500000000000001,SPY,logistic_regression,11,monthly_expanding_01
25,0.3664583113975801,1.2320858878907044,-0.23912459746946435,5.0,0.0125,SPY,logistic_regression,11,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,LightGBM,11,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,LightGBM,11,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,LightGBM,11,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,LightGBM,11,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,XGBoost,11,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,XGBoost,11,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,XGBoost,11,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,XGBoost,11,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,CatBoost,11,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,CatBoost,11,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,CatBoost,11,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,CatBoost,11,monthly_expanding_01
0,-0.08492984042263096,-0.14085033067860497,-0.26238092083963216,23.0,0.0,SPY,random,17,monthly_expanding_01
8,-0.09470561335445671,-0.17501890448816057,-0.26516227193410313,23.0,0.018400000000000003,SPY,random,17,monthly_expanding_01
15,-0.10318642626634877,-0.20483857743096281,-0.2714412083195652,23.0,0.0345,SPY,random,17,monthly_expanding_01
25,-0.11518462693371145,-0.2473014451835635,-0.2820011058221721,23.0,0.05749999999999999,SPY,random,17,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,historical_mean,17,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,historical_mean,17,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,historical_mean,17,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,historical_mean,17,monthly_expanding_01
0,-0.16408878505093816,-0.43967607114425433,-0.3762100362138523,17.0,0.0,SPY,random_walk,17,monthly_expanding_01
8,-0.17066030793914788,-0.46545576411350525,-0.38137946856000715,17.0,0.013600000000000003,SPY,random_walk,17,monthly_expanding_01
15,-0.17637646231659732,-0.48799765106255905,-0.3858746238970321,17.0,0.0255,SPY,random_walk,17,monthly_expanding_01
25,-0.18448773682054898,-0.5201668586699357,-0.39225101763015124,17.0,0.042499999999999996,SPY,random_walk,17,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,buy_hold,17,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,buy_hold,17,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,buy_hold,17,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,buy_hold,17,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,momentum,17,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,momentum,17,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,momentum,17,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,momentum,17,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,moving_average,17,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,moving_average,17,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,moving_average,17,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,moving_average,17,monthly_expanding_01
0,0.3764113636348494,1.2613747905048052,-0.23498583374290904,5.0,0.0,SPY,logistic_regression,17,monthly_expanding_01
8,0.3732234470366056,1.2520263109721486,-0.23631023813540664,5.0,0.004,SPY,logistic_regression,17,monthly_expanding_01
15,0.3704362894584359,1.2438274720715154,-0.23746909197884214,5.0,0.007500000000000001,SPY,logistic_regression,17,monthly_expanding_01
25,0.3664583113975801,1.2320858878907044,-0.23912459746946435,5.0,0.0125,SPY,logistic_regression,17,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,LightGBM,17,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,LightGBM,17,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,LightGBM,17,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,LightGBM,17,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,XGBoost,17,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,XGBoost,17,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,XGBoost,17,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,XGBoost,17,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,CatBoost,17,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,CatBoost,17,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,CatBoost,17,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,CatBoost,17,monthly_expanding_01
0,-0.09844490049584498,-0.1948764415741278,-0.49456155520004097,13.0,0.0,SPY,random,23,monthly_expanding_01
8,-0.10372167796401044,-0.21466139091433536,-0.49901363337840665,13.0,0.010400000000000001,SPY,random,23,monthly_expanding_01
15,-0.10832004583756649,-0.23201237931300586,-0.5028825613025525,13.0,0.0195,SPY,random,23,monthly_expanding_01
25,-0.11485877528750776,-0.2568575297181687,-0.5083667290292783,13.0,0.0325,SPY,random,23,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,historical_mean,23,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,historical_mean,23,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,historical_mean,23,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,historical_mean,23,monthly_expanding_01
0,-0.16408878505093816,-0.43967607114425433,-0.3762100362138523,17.0,0.0,SPY,random_walk,23,monthly_expanding_01
8,-0.17066030793914788,-0.46545576411350525,-0.38137946856000715,17.0,0.013600000000000003,SPY,random_walk,23,monthly_expanding_01
15,-0.17637646231659732,-0.48799765106255905,-0.3858746238970321,17.0,0.0255,SPY,random_walk,23,monthly_expanding_01
25,-0.18448773682054898,-0.5201668586699357,-0.39225101763015124,17.0,0.042499999999999996,SPY,random_walk,23,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,buy_hold,23,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,buy_hold,23,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,buy_hold,23,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,buy_hold,23,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,momentum,23,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,momentum,23,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,momentum,23,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,momentum,23,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,moving_average,23,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,moving_average,23,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,moving_average,23,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,moving_average,23,monthly_expanding_01
0,0.3764113636348494,1.2613747905048052,-0.23498583374290904,5.0,0.0,SPY,logistic_regression,23,monthly_expanding_01
8,0.3732234470366056,1.2520263109721486,-0.23631023813540664,5.0,0.004,SPY,logistic_regression,23,monthly_expanding_01
15,0.3704362894584359,1.2438274720715154,-0.23746909197884214,5.0,0.007500000000000001,SPY,logistic_regression,23,monthly_expanding_01
25,0.3664583113975801,1.2320858878907044,-0.23912459746946435,5.0,0.0125,SPY,logistic_regression,23,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,LightGBM,23,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,LightGBM,23,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,LightGBM,23,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,LightGBM,23,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,XGBoost,23,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,XGBoost,23,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,XGBoost,23,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,XGBoost,23,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,CatBoost,23,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,CatBoost,23,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,CatBoost,23,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,CatBoost,23,monthly_expanding_01
0,-0.09008323146545583,-0.16178755822873991,-0.3487032271538466,21.0,0.0,SPY,random,42,monthly_expanding_01
8,-0.09889318181322038,-0.19315774180911466,-0.3588122883201543,21.0,0.016800000000000002,SPY,random,42,monthly_expanding_01
15,-0.10654324750877608,-0.22058646954133912,-0.3675419985376601,21.0,0.0315,SPY,random,42,monthly_expanding_01
25,-0.11737761791159207,-0.2597270523047474,-0.3798280734780952,21.0,0.0525,SPY,random,42,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,historical_mean,42,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,historical_mean,42,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,historical_mean,42,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,historical_mean,42,monthly_expanding_01
0,-0.16408878505093816,-0.43967607114425433,-0.3762100362138523,17.0,0.0,SPY,random_walk,42,monthly_expanding_01
8,-0.17066030793914788,-0.46545576411350525,-0.38137946856000715,17.0,0.013600000000000003,SPY,random_walk,42,monthly_expanding_01
15,-0.17637646231659732,-0.48799765106255905,-0.3858746238970321,17.0,0.0255,SPY,random_walk,42,monthly_expanding_01
25,-0.18448773682054898,-0.5201668586699357,-0.39225101763015124,17.0,0.042499999999999996,SPY,random_walk,42,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,buy_hold,42,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,buy_hold,42,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,buy_hold,42,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,buy_hold,42,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,momentum,42,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,momentum,42,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,momentum,42,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,momentum,42,monthly_expanding_01
0,-0.504855086145707,-2.760057326028145,-0.7542446504045326,1.0,0.0,SPY,moving_average,42,monthly_expanding_01
8,-0.5050667471825587,-2.7649060461938535,-0.7542446504045326,1.0,0.0008,SPY,moving_average,42,monthly_expanding_01
15,-0.5052520062950109,-2.7691448161766883,-0.7542446504045326,1.0,0.0015,SPY,moving_average,42,monthly_expanding_01
25,-0.5055167524598795,-2.775193756881134,-0.7542446504045327,1.0,0.0025,SPY,moving_average,42,monthly_expanding_01
0,0.3764113636348494,1.2613747905048052,-0.23498583374290904,5.0,0.0,SPY,logistic_regression,42,monthly_expanding_01
8,0.3732234470366056,1.2520263109721486,-0.23631023813540664,5.0,0.004,SPY,logistic_regression,42,monthly_expanding_01
15,0.3704362894584359,1.2438274720715154,-0.23746909197884214,5.0,0.007500000000000001,SPY,logistic_regression,42,monthly_expanding_01
25,0.3664583113975801,1.2320858878907044,-0.23912459746946435,5.0,0.0125,SPY,logistic_regression,42,monthly_expanding_01
