block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
20,0.7596153846153846,0.7638888888888888,0.000999000999000999,SPY,random,11,monthly_expanding_01
25,,,,SPY,random,11,monthly_expanding_01
40,,,,SPY,random,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,historical_mean,11,monthly_expanding_01
25,,,,SPY,historical_mean,11,monthly_expanding_01
40,,,,SPY,historical_mean,11,monthly_expanding_01
20,0.375,0.3798076923076923,1.0,SPY,random_walk,11,monthly_expanding_01
25,,,,SPY,random_walk,11,monthly_expanding_01
40,,,,SPY,random_walk,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,buy_hold,11,monthly_expanding_01
25,,,,SPY,buy_hold,11,monthly_expanding_01
40,,,,SPY,buy_hold,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,momentum,11,monthly_expanding_01
25,,,,SPY,momentum,11,monthly_expanding_01
40,,,,SPY,momentum,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,moving_average,11,monthly_expanding_01
25,,,,SPY,moving_average,11,monthly_expanding_01
40,,,,SPY,moving_average,11,monthly_expanding_01
20,0.375,0.38461538461538464,1.0,SPY,logistic_regression,11,monthly_expanding_01
25,,,,SPY,logistic_regression,11,monthly_expanding_01
40,,,,SPY,logistic_regression,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,LightGBM,11,monthly_expanding_01
25,,,,SPY,LightGBM,11,monthly_expanding_01
40,,,,SPY,LightGBM,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,XGBoost,11,monthly_expanding_01
25,,,,SPY,XGBoost,11,monthly_expanding_01
40,,,,SPY,XGBoost,11,monthly_expanding_01
20,0.5,0.5,1.0,SPY,CatBoost,11,monthly_expanding_01
25,,,,SPY,CatBoost,11,monthly_expanding_01
40,,,,SPY,CatBoost,11,monthly_expanding_01
20,0.5277777777777778,0.6057692307692308,1.0,SPY,random,17,monthly_expanding_01
25,,,,SPY,random,17,monthly_expanding_01
40,,,,SPY,random,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,historical_mean,17,monthly_expanding_01
25,,,,SPY,historical_mean,17,monthly_expanding_01
40,,,,SPY,historical_mean,17,monthly_expanding_01
20,0.375,0.3798076923076923,1.0,SPY,random_walk,17,monthly_expanding_01
25,,,,SPY,random_walk,17,monthly_expanding_01
40,,,,SPY,random_walk,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,buy_hold,17,monthly_expanding_01
25,,,,SPY,buy_hold,17,monthly_expanding_01
40,,,,SPY,buy_hold,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,momentum,17,monthly_expanding_01
25,,,,SPY,momentum,17,monthly_expanding_01
40,,,,SPY,momentum,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,moving_average,17,monthly_expanding_01
25,,,,SPY,moving_average,17,monthly_expanding_01
40,,,,SPY,moving_average,17,monthly_expanding_01
20,0.375,0.38461538461538464,1.0,SPY,logistic_regression,17,monthly_expanding_01
25,,,,SPY,logistic_regression,17,monthly_expanding_01
40,,,,SPY,logistic_regression,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,LightGBM,17,monthly_expanding_01
25,,,,SPY,LightGBM,17,monthly_expanding_01
40,,,,SPY,LightGBM,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,XGBoost,17,monthly_expanding_01
25,,,,SPY,XGBoost,17,monthly_expanding_01
40,,,,SPY,XGBoost,17,monthly_expanding_01
20,0.5,0.5,1.0,SPY,CatBoost,17,monthly_expanding_01
25,,,,SPY,CatBoost,17,monthly_expanding_01
40,,,,SPY,CatBoost,17,monthly_expanding_01
20,0.4305555555555556,0.4423076923076923,1.0,SPY,random,23,monthly_expanding_01
25,,,,SPY,random,23,monthly_expanding_01
40,,,,SPY,random,23,monthly_expanding_01
20,0.5,0.5,1.0,SPY,historical_mean,23,monthly_expanding_01
25,,,,SPY,historical_mean,23,monthly_expanding_01
40,,,,SPY,historical_mean,23,monthly_expanding_01
20,0.375,0.3798076923076923,1.0,SPY,random_walk,23,monthly_expanding_01
25,,,,SPY,random_walk,23,monthly_expanding_01
40,,,,SPY,random_walk,23,monthly_expanding_01
