model,asset_class,sample_count,mean_balanced_accuracy,median_balanced_accuracy,std_balanced_accuracy,collapse_count
CatBoost,etfs,72,0.4887388745257549,0.5,0.08598245258082136,43
CatBoost,forex,48,0.540494532748052,0.5,0.08658828006566403,20
CatBoost,stocks,40,0.5139021324867045,0.5,0.08222793329259971,25
LightGBM,etfs,72,0.5039390894283312,0.5,0.020696947082854925,68
LightGBM,forex,48,0.556312736137741,0.5303779069767443,0.06954729892568348,23
LightGBM,stocks,40,0.5210469454447859,0.5,0.07592598442271453,24
XGBoost,etfs,72,0.5022880324365979,0.5,0.01457563770555886,66
XGBoost,forex,48,0.58207668093583,0.5656322964525118,0.09428871794329907,23
XGBoost,stocks,40,0.5401834464023002,0.5,0.07392359318972251,30
buy_hold,etfs,72,0.5,0.5,0.0,72
buy_hold,forex,48,0.5,0.5,0.0,48
buy_hold,stocks,40,0.5,0.5,0.0,40
historical_mean,etfs,72,0.5,0.5,0.0,72
historical_mean,forex,48,0.5,0.5,0.0,48
historical_mean,stocks,40,0.5,0.5,0.0,40
logistic_regression,etfs,72,0.5832127621869221,0.566669658192287,0.09611890818606952,8
logistic_regression,forex,48,0.5221650513159601,0.5418726911054277,0.08659393781062256,12
logistic_regression,stocks,40,0.513205600770797,0.470466652785154,0.11030799322193664,0
momentum,etfs,72,0.37044691759028114,0.3691918200846772,0.08306804194632035,0
momentum,forex,48,0.4534803324582822,0.41677867383512546,0.12635734763860554,0
momentum,stocks,40,0.42088469959004743,0.389490578446575,0.1211170330097091,0
moving_average,etfs,72,0.5020081304935533,0.5,0.041641261976725505,44
moving_average,forex,48,0.43360455151865174,0.43311661506707944,0.07042810585420974,8
moving_average,stocks,40,0.5140873907458897,0.5,0.06344352449958596,8
random,etfs,72,0.4957475610328813,0.49739408639752386,0.048977670541935935,0
random,forex,48,0.5014415293492661,0.4957466997884418,0.045084116584145975,0
random,stocks,40,0.4872498333357099,0.48509811322146934,0.03985068944751072,0
random_walk,etfs,72,0.47284155413850976,0.4785018400191804,0.03212855486842754,0
random_walk,forex,48,0.5071876362405482,0.512478466838932,0.03694510036652524,0
random_walk,stocks,40,0.4810866407486902,0.48930850168603146,0.03500074203626415,0
