candidate,asset,seed,fold_id,timestamps_aligned,labels_aligned,horizon_days,costs_aligned,rows
random,SPY,11,long_window_01,True,True,20,True,126
historical_mean,SPY,11,long_window_01,True,True,20,True,126
random_walk,SPY,11,long_window_01,True,True,20,True,126
buy_hold,SPY,11,long_window_01,True,True,20,True,126
momentum,SPY,11,long_window_01,True,True,20,True,126
moving_average,SPY,11,long_window_01,True,True,20,True,126
logistic_regression,SPY,11,long_window_01,True,True,20,True,126
LightGBM,SPY,11,long_window_01,True,True,20,True,126
XGBoost,SPY,11,long_window_01,True,True,20,True,126
CatBoost,SPY,11,long_window_01,True,True,20,True,126
random,SPY,17,long_window_01,True,True,20,True,126
historical_mean,SPY,17,long_window_01,True,True,20,True,126
random_walk,SPY,17,long_window_01,True,True,20,True,126
buy_hold,SPY,17,long_window_01,True,True,20,True,126
momentum,SPY,17,long_window_01,True,True,20,True,126
moving_average,SPY,17,long_window_01,True,True,20,True,126
logistic_regression,SPY,17,long_window_01,True,True,20,True,126
LightGBM,SPY,17,long_window_01,True,True,20,True,126
XGBoost,SPY,17,long_window_01,True,True,20,True,126
CatBoost,SPY,17,long_window_01,True,True,20,True,126
random,SPY,23,long_window_01,True,True,20,True,126
historical_mean,SPY,23,long_window_01,True,True,20,True,126
random_walk,SPY,23,long_window_01,True,True,20,True,126
buy_hold,SPY,23,long_window_01,True,True,20,True,126
momentum,SPY,23,long_window_01,True,True,20,True,126
moving_average,SPY,23,long_window_01,True,True,20,True,126
logistic_regression,SPY,23,long_window_01,True,True,20,True,126
LightGBM,SPY,23,long_window_01,True,True,20,True,126
XGBoost,SPY,23,long_window_01,True,True,20,True,126
CatBoost,SPY,23,long_window_01,True,True,20,True,126
random,SPY,42,long_window_01,True,True,20,True,126
historical_mean,SPY,42,long_window_01,True,True,20,True,126
random_walk,SPY,42,long_window_01,True,True,20,True,126
buy_hold,SPY,42,long_window_01,True,True,20,True,126
momentum,SPY,42,long_window_01,True,True,20,True,126
moving_average,SPY,42,long_window_01,True,True,20,True,126
logistic_regression,SPY,42,long_window_01,True,True,20,True,126
LightGBM,SPY,42,long_window_01,True,True,20,True,126
XGBoost,SPY,42,long_window_01,True,True,20,True,126
CatBoost,SPY,42,long_window_01,True,True,20,True,126
random,SPY,11,long_window_02,True,True,20,True,126
historical_mean,SPY,11,long_window_02,True,True,20,True,126
random_walk,SPY,11,long_window_02,True,True,20,True,126
buy_hold,SPY,11,long_window_02,True,True,20,True,126
momentum,SPY,11,long_window_02,True,True,20,True,126
moving_average,SPY,11,long_window_02,True,True,20,True,126
logistic_regression,SPY,11,long_window_02,True,True,20,True,126
LightGBM,SPY,11,long_window_02,True,True,20,True,126
XGBoost,SPY,11,long_window_02,True,True,20,True,126
CatBoost,SPY,11,long_window_02,True,True,20,True,126
random,SPY,17,long_window_02,True,True,20,True,126
historical_mean,SPY,17,long_window_02,True,True,20,True,126
random_walk,SPY,17,long_window_02,True,True,20,True,126
buy_hold,SPY,17,long_window_02,True,True,20,True,126
momentum,SPY,17,long_window_02,True,True,20,True,126
