cost_bps,net_return_diagnostic,sharpe_diagnostic,max_drawdown,turnover,total_cost,asset,model,seed,fold_id
0,-0.11546456689361673,-0.9954118296344887,-0.7310898549024125,121.0,0.0,SPY,random,11,long_window_01
8,-0.12359193427092985,-1.0823766260311694,-0.7551510888283576,121.0,0.09680000000000002,SPY,random,11,long_window_01
15,-0.13065262441882985,-1.1589512094168963,-0.774459574231035,121.0,0.1815,SPY,random,11,long_window_01
25,-0.14065766388720746,-1.268921909338158,-0.7994719599538024,121.0,0.3025,SPY,random,11,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,historical_mean,11,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,historical_mean,11,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,historical_mean,11,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,historical_mean,11,long_window_01
0,-0.018610818716410238,-0.09529186445996107,-0.4514916747014912,99.0,0.0,SPY,random_walk,11,long_window_01
8,-0.026002261359184597,-0.1578504611476222,-0.464566218529627,99.0,0.0792,SPY,random_walk,11,long_window_01
15,-0.03243368662498136,-0.21250504563375108,-0.47576726788632573,99.0,0.1485,SPY,random_walk,11,long_window_01
25,-0.04156327612354638,-0.29031684740293673,-0.49138987984197124,99.0,0.2475,SPY,random_walk,11,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,buy_hold,11,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,buy_hold,11,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,buy_hold,11,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,buy_hold,11,long_window_01
0,-0.06814085541064197,-0.5305017181145679,-0.71458699195818,21.0,0.0,SPY,momentum,11,long_window_01
8,-0.06963192491943371,-0.5442596344038494,-0.7159633218930228,21.0,0.016800000000000002,SPY,momentum,11,long_window_01
15,-0.07093657048566993,-0.5562379114945091,-0.7171639757310282,21.0,0.03150000000000001,SPY,momentum,11,long_window_01
25,-0.07280028472616573,-0.5732432317259653,-0.7188733203766483,21.0,0.0525,SPY,momentum,11,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,moving_average,11,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,moving_average,11,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,moving_average,11,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,moving_average,11,long_window_01
0,-0.1469731184540064,-1.350029462476678,-0.8343454359297178,23.0,0.0,SPY,logistic_regression,11,long_window_01
8,-0.148478305278419,-1.366772193121042,-0.8356865442911003,23.0,0.018400000000000003,SPY,logistic_regression,11,long_window_01
15,-0.14979510880973235,-1.38122012567136,-0.836852878778354,23.0,0.0345,SPY,logistic_regression,11,long_window_01
25,-0.15167587589957687,-1.401518059497434,-0.8385075770509983,23.0,0.05749999999999999,SPY,logistic_regression,11,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,LightGBM,11,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,LightGBM,11,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,LightGBM,11,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,LightGBM,11,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,XGBoost,11,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,XGBoost,11,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,XGBoost,11,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,XGBoost,11,long_window_01
0,-0.15368908455806773,-1.432366233157276,-0.8507466373362164,5.0,0.0,SPY,CatBoost,11,long_window_01
8,-0.15401554621985658,-1.435946619527468,-0.8507466373362165,5.0,0.004,SPY,CatBoost,11,long_window_01
15,-0.15430148549518308,-1.4390286815385072,-0.8507466373362165,5.0,0.007500000000000001,SPY,CatBoost,11,long_window_01
25,-0.154710433430298,-1.4433487465934387,-0.8507466373362165,5.0,0.0125,SPY,CatBoost,11,long_window_01
0,-0.03574816503557976,-0.24225669230611205,-0.40897330788400277,133.0,0.0,SPY,random,17,long_window_01
8,-0.04551705748589041,-0.3262882614135285,-0.4467419645098869,133.0,0.10640000000000004,SPY,random,17,long_window_01
15,-0.0539963146511393,-0.39956747698770423,-0.48560698331462326,133.0,0.1995,SPY,random,17,long_window_01
25,-0.06599940041804442,-0.5036696435113611,-0.5488322718446047,133.0,0.3325,SPY,random,17,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,historical_mean,17,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,historical_mean,17,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,historical_mean,17,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,historical_mean,17,long_window_01
0,-0.018610818716410238,-0.09529186445996107,-0.4514916747014912,99.0,0.0,SPY,random_walk,17,long_window_01
8,-0.026002261359184597,-0.1578504611476222,-0.464566218529627,99.0,0.0792,SPY,random_walk,17,long_window_01
15,-0.03243368662498136,-0.21250504563375108,-0.47576726788632573,99.0,0.1485,SPY,random_walk,17,long_window_01
25,-0.04156327612354638,-0.29031684740293673,-0.49138987984197124,99.0,0.2475,SPY,random_walk,17,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,buy_hold,17,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,buy_hold,17,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,buy_hold,17,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,buy_hold,17,long_window_01
0,-0.06814085541064197,-0.5305017181145679,-0.71458699195818,21.0,0.0,SPY,momentum,17,long_window_01
8,-0.06963192491943371,-0.5442596344038494,-0.7159633218930228,21.0,0.016800000000000002,SPY,momentum,17,long_window_01
15,-0.07093657048566993,-0.5562379114945091,-0.7171639757310282,21.0,0.03150000000000001,SPY,momentum,17,long_window_01
25,-0.07280028472616573,-0.5732432317259653,-0.7188733203766483,21.0,0.0525,SPY,momentum,17,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,moving_average,17,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,moving_average,17,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,moving_average,17,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,moving_average,17,long_window_01
0,-0.1469731184540064,-1.350029462476678,-0.8343454359297178,23.0,0.0,SPY,logistic_regression,17,long_window_01
8,-0.148478305278419,-1.366772193121042,-0.8356865442911003,23.0,0.018400000000000003,SPY,logistic_regression,17,long_window_01
15,-0.14979510880973235,-1.38122012567136,-0.836852878778354,23.0,0.0345,SPY,logistic_regression,17,long_window_01
25,-0.15167587589957687,-1.401518059497434,-0.8385075770509983,23.0,0.05749999999999999,SPY,logistic_regression,17,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,LightGBM,17,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,LightGBM,17,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,LightGBM,17,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,LightGBM,17,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,XGBoost,17,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,XGBoost,17,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,XGBoost,17,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,XGBoost,17,long_window_01
0,-0.2104673000220323,-2.2721179571111576,-0.9415227580998444,11.0,0.0,SPY,CatBoost,17,long_window_01
8,-0.21112842454959724,-2.2843305078221405,-0.9419906719959554,11.0,0.0088,SPY,CatBoost,17,long_window_01
15,-0.21170728690440943,-2.2948264464396084,-0.9423976356195105,11.0,0.0165,SPY,CatBoost,17,long_window_01
25,-0.21253484729778338,-2.3095036644322935,-0.9429750476702883,11.0,0.027500000000000004,SPY,CatBoost,17,long_window_01
0,-0.037980497261829727,-0.26190260298810875,-0.47979527898871865,131.0,0.0,SPY,random,23,long_window_01
8,-0.04755653973376284,-0.34538859078447337,-0.5231069067076692,131.0,0.10480000000000002,SPY,random,23,long_window_01
15,-0.05586976923123932,-0.4184584231239762,-0.5586239165399689,131.0,0.19649999999999998,SPY,random,23,long_window_01
25,-0.06764001933441643,-0.5226906992133445,-0.606020055415236,131.0,0.32749999999999996,SPY,random,23,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,historical_mean,23,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,historical_mean,23,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,historical_mean,23,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,historical_mean,23,long_window_01
0,-0.018610818716410238,-0.09529186445996107,-0.4514916747014912,99.0,0.0,SPY,random_walk,23,long_window_01
8,-0.026002261359184597,-0.1578504611476222,-0.464566218529627,99.0,0.0792,SPY,random_walk,23,long_window_01
15,-0.03243368662498136,-0.21250504563375108,-0.47576726788632573,99.0,0.1485,SPY,random_walk,23,long_window_01
25,-0.04156327612354638,-0.29031684740293673,-0.49138987984197124,99.0,0.2475,SPY,random_walk,23,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,buy_hold,23,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,buy_hold,23,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,buy_hold,23,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,buy_hold,23,long_window_01
0,-0.06814085541064197,-0.5305017181145679,-0.71458699195818,21.0,0.0,SPY,momentum,23,long_window_01
8,-0.06963192491943371,-0.5442596344038494,-0.7159633218930228,21.0,0.016800000000000002,SPY,momentum,23,long_window_01
15,-0.07093657048566993,-0.5562379114945091,-0.7171639757310282,21.0,0.03150000000000001,SPY,momentum,23,long_window_01
25,-0.07280028472616573,-0.5732432317259653,-0.7188733203766483,21.0,0.0525,SPY,momentum,23,long_window_01
0,0.19270547797420678,1.6931610179392176,-0.3974529190472207,1.0,0.0,SPY,moving_average,23,long_window_01
8,0.19261890702617723,1.6928386061595335,-0.3974529190472209,1.0,0.0008,SPY,moving_average,23,long_window_01
15,0.19254310844407518,1.6925492248325378,-0.3974529190472206,1.0,0.0015,SPY,moving_average,23,long_window_01
25,0.19243474529769222,1.6921240418283485,-0.3974529190472208,1.0,0.0025,SPY,moving_average,23,long_window_01
