asset,asset_class,usable_rows,earliest_date,latest_date,test_rows,feasible_windows,supported_blocks,feasibility_status
SPY,etfs,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
QQQ,etfs,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
VTI,etfs,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
VOO,etfs,3702,2010-09-13,2025-05-30,126,2,20|25|40,fully_feasible
IWM,etfs,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
DIA,etfs,3875,2010-01-05,2025-05-30,126,2,20|25|40,fully_feasible
XLK,etfs,3875,2010-01-05,2025-05-30,126,2,20|25|40,fully_feasible
XLF,etfs,3875,2010-01-05,2025-05-30,126,2,20|25|40,fully_feasible
XLE,etfs,3875,2010-01-05,2025-05-30,126,2,20|25|40,fully_feasible
EURUSD=X,forex,4012,2010-01-05,2025-06-02,126,2,20|25|40,fully_feasible
GBPUSD=X,forex,4012,2010-01-05,2025-06-02,126,2,20|25|40,fully_feasible
JPY=X,forex,4012,2010-01-05,2025-06-02,126,2,20|25|40,fully_feasible
INR=X,forex,4012,2010-01-05,2025-06-02,126,2,20|25|40,fully_feasible
AUDUSD=X,forex,4012,2010-01-04,2025-06-02,126,2,20|25|40,fully_feasible
CAD=X,forex,4012,2010-01-04,2025-06-02,126,2,20|25|40,fully_feasible
AAPL,stocks,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
UNH,stocks,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
AMZN,stocks,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
NVDA,stocks,3874,2010-01-06,2025-05-30,126,2,20|25|40,fully_feasible
TSLA,stocks,3752,2010-07-01,2025-05-30,126,2,20|25|40,fully_feasible
