observations,balanced_accuracy,roc_auc,brier,ece,probability_mean,probability_std,probability_min,probability_max,positive_rate,collapse_flag,asset,asset_class,model,seed,fold_id,dataset_hash,feature_hash
126,0.4154447702834799,0.4024112088628218,0.4070926181719822,0.3678110362873778,0.44549721749934507,0.2992473226702489,0.016877215097497844,0.9988024876324018,0.42063492063492064,False,SPY,etfs,random,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.19672005234444495,0.0583900226757369,0.6797052154195012,1.1102230246251565e-16,0.6797052154195011,0.6797052154195011,1.0,True,SPY,etfs,historical_mean,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5078201368523949,0.5078201368523949,0.2477380952380953,0.22936507936507955,0.5087301587301586,0.04923194418816136,0.45,0.55,0.5873015873015873,False,SPY,etfs,random_walk,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.2619047619047619,0.26190476190476186,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.3225806451612903,0.3225806451612903,0.2548809523809524,0.2142857142857144,0.5238095238095237,0.043967107887189036,0.45,0.55,0.7380952380952381,False,SPY,etfs,momentum,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.22869047619047622,0.18809523809523843,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5332355816226784,0.5434995112414467,0.4004543648559478,0.4477822488768195,0.2903129892184186,0.12935539190306472,0.062246428138912534,0.6174683665520588,0.07936507936507936,False,SPY,etfs,logistic_regression,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.35288367546432065,0.20277361146031717,0.07154769745110012,0.666547540644138,0.016927381043756917,0.6198499377915343,0.6767634584533608,1.0,True,SPY,etfs,LightGBM,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.3022157054415119,0.20833124244055737,0.06249949903715224,0.6755957390580859,0.0360515106706906,0.6096972823143005,0.7247275114059448,1.0,True,SPY,etfs,XGBoost,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.510752688172043,0.3062886933854676,0.27664437544198334,0.2799451524359648,0.45815008565927334,0.018334960210104535,0.4185562042993713,0.5053055145883385,0.015873015873015872,True,SPY,etfs,CatBoost,11,long_window_01,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
