asset,seed,fold_id,train_start,train_end,purge_start,purge_end,embargo_start,embargo_end,test_start,test_end,train_rows,test_rows,dataset_hash,feature_hash
SPY,11,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,17,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,23,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,42,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,11,long_window_02,2010-01-06,2024-07-15,2024-07-16,2024-08-12,2024-08-13,2024-08-19,2024-08-20,2025-02-20,3654,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,17,long_window_02,2010-01-06,2024-07-15,2024-07-16,2024-08-12,2024-08-13,2024-08-19,2024-08-20,2025-02-20,3654,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,23,long_window_02,2010-01-06,2024-07-15,2024-07-16,2024-08-12,2024-08-13,2024-08-19,2024-08-20,2025-02-20,3654,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
SPY,42,long_window_02,2010-01-06,2024-07-15,2024-07-16,2024-08-12,2024-08-13,2024-08-19,2024-08-20,2025-02-20,3654,126,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
QQQ,11,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
QQQ,17,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
QQQ,23,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
QQQ,42,long_window_01,2010-01-06,2024-01-11,2024-01-12,2024-02-09,2024-02-12,2024-02-16,2024-02-20,2024-08-19,3528,126,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
