block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
20,0.340721655859937,0.4989285714285714,1.0,SPY,random,11,long_window_01
25,0.36016897880872,0.49834616530983694,1.0,SPY,random,11,long_window_01
40,0.38053921568627447,0.5008442380751372,1.0,SPY,random,11,long_window_01
20,0.5,0.5,1.0,SPY,historical_mean,11,long_window_01
25,0.5,0.5,1.0,SPY,historical_mean,11,long_window_01
40,0.5,0.5,1.0,SPY,historical_mean,11,long_window_01
20,0.36354420643960844,0.6219919175591029,0.4915084915084915,SPY,random_walk,11,long_window_01
25,0.3603906250000001,0.6212538648021924,0.5014985014985015,SPY,random_walk,11,long_window_01
40,0.3973815603394092,0.6055787037037037,0.5794205794205795,SPY,random_walk,11,long_window_01
20,0.5,0.5,1.0,SPY,buy_hold,11,long_window_01
25,0.5,0.5,1.0,SPY,buy_hold,11,long_window_01
40,0.5,0.5,1.0,SPY,buy_hold,11,long_window_01
20,0.15788758581235698,0.46907375588647066,1.0,SPY,momentum,11,long_window_01
25,0.17257988721804512,0.4756335746951219,1.0,SPY,momentum,11,long_window_01
40,0.1760027556644213,0.45317327949438196,1.0,SPY,momentum,11,long_window_01
20,0.5,0.5,1.0,SPY,moving_average,11,long_window_01
25,0.5,0.5,1.0,SPY,moving_average,11,long_window_01
40,0.5,0.5,1.0,SPY,moving_average,11,long_window_01
20,0.4908992019869834,0.5522430219284294,0.2937062937062937,SPY,logistic_regression,11,long_window_01
25,0.4897029589686657,0.547317563388992,0.3196803196803197,SPY,logistic_regression,11,long_window_01
40,0.48652777777777784,0.5452030127901798,0.35764235764235763,SPY,logistic_regression,11,long_window_01
20,0.5,0.5,1.0,SPY,LightGBM,11,long_window_01
25,0.5,0.5,1.0,SPY,LightGBM,11,long_window_01
40,0.5,0.5,1.0,SPY,LightGBM,11,long_window_01
20,0.5,0.5,1.0,SPY,XGBoost,11,long_window_01
25,0.5,0.5,1.0,SPY,XGBoost,11,long_window_01
40,0.5,0.5,1.0,SPY,XGBoost,11,long_window_01
20,0.5,0.531578947368421,0.6493506493506493,SPY,CatBoost,11,long_window_01
25,0.5,0.5266666666666666,0.6183816183816184,SPY,CatBoost,11,long_window_01
40,0.5,0.5241037320011754,0.7192807192807192,SPY,CatBoost,11,long_window_01
20,0.42542232597623086,0.5762593601089177,0.5484515484515484,SPY,random,17,long_window_01
25,0.42324139676113365,0.571007025761124,0.5334665334665335,SPY,random,17,long_window_01
40,0.4401150008585586,0.556910569105691,0.45254745254745254,SPY,random,17,long_window_01
20,0.5,0.5,1.0,SPY,historical_mean,17,long_window_01
25,0.5,0.5,1.0,SPY,historical_mean,17,long_window_01
40,0.5,0.5,1.0,SPY,historical_mean,17,long_window_01
20,0.35725210084033615,0.6219825487012987,0.4805194805194805,SPY,random_walk,17,long_window_01
25,0.35937365500491886,0.6111111111111112,0.5044955044955045,SPY,random_walk,17,long_window_01
40,0.39156887755102043,0.6188769257703082,0.5924075924075924,SPY,random_walk,17,long_window_01
